,MONTH,SERVICE_CATEGORY,CLAIM_SPECIALTY,PAYER,PAID_AMOUNT
47,2018-01-31,AncillaryFFS,DERMATOLOGY,Payer W,220
48,2018-01-31,AncillaryFFS,DERMATOPATHOLOGY,Payer F,342
49,2018-01-31,AncillaryFFS,Dermatopathology,Payer UN,0
50,2018-01-31,AncillaryFFS,DIABETES EDUCATOR,Payer CA,557
51,2018-01-31,AncillaryFFS,DIAG X-RAY CLINIC,Payer H,439
52,2018-01-31,AncillaryFFS,DIAGNOSTIC RADIOLOGY,Payer CA,811
53,2018-01-31,AncillaryFFS,DIAGNOSTIC RADIOLOGY,Payer CO,14
54,2018-01-31,AncillaryFFS,Diagnostics,Payer UN,93
55,2018-01-31,AncillaryFFS,DIAL,Payer CO,1265
56,2018-01-31,AncillaryFFS,DIALYSIS,Payer CA,8776
57,2018-01-31,AncillaryFFS,Dialysis,Payer S,4094
58,2018-01-31,AncillaryFFS,DIALYSIS,Payer W,4557
59,2018-01-31,AncillaryFFS,DIALYSIS CENTER,Payer H,1540
60,2018-01-31,AncillaryFFS,DISEASE MANAGEMENT,Payer CA,1777
61,2018-01-31,AncillaryFFS,"DME & Medical Supplies, Oxygen Equip & Supplies",Payer S,494
62,2018-01-31,AncillaryFFS,Doctor of Psychology,Payer UN,0
63,2018-01-31,AncillaryFFS,DURABLE MED EQUIPMENT,Payer CO,5187
64,2018-01-31,AncillaryFFS,DURABLE MEDICAL EQUIPMENT,Payer B,1546
65,2018-01-31,AncillaryFFS,DURABLE MEDICAL EQUIPMENT,Payer CA,6575
66,2018-01-31,AncillaryFFS,Durable Medical Equipment,Payer S,6525
67,2018-01-31,AncillaryFFS,DURABLE MEDICAL EQUIPMENT,Payer W,2383
68,2018-01-31,AncillaryFFS,Durable Medical Supply,Payer UN,700
69,2018-01-31,AncillaryFFS,EMERGENCY MEDICINE,Payer F,2828
70,2018-01-31,AncillaryFFS,EMERGENCY MEDICINE,Payer O,1509
71,2018-01-31,AncillaryFFS,Emergency Medicine,Payer S,0
72,2018-01-31,AncillaryFFS,Emergency Medicine,Payer UN,60
73,2018-01-31,AncillaryFFS,EMERGENCY ROOM,Payer CA,90
74,2018-01-31,AncillaryFFS,EMERGENCY ROOM,Payer W,1878
75,2018-01-31,AncillaryFFS,End-Stage Renal Disease (ESRD) Treatment	,Payer S,500
76,2018-01-31,AncillaryFFS,ENDOCRINOLOGY,Payer F,1137
77,2018-01-31,AncillaryFFS,ENDOCRINOLOGY,Payer O,342
78,2018-01-31,AncillaryFFS,Endocrinology,Payer UN,0
79,2018-01-31,AncillaryFFS,ENT,Payer W,106
80,2018-01-31,AncillaryFFS,FAMILY NURSE PRACTIONER,Payer CA,133
81,2018-01-31,AncillaryFFS,Family Practice,Payer B,0
82,2018-01-31,AncillaryFFS,FAMILY PRACTICE,Payer CA,553
83,2018-01-31,AncillaryFFS,FAMILY PRACTICE,Payer F,9315
84,2018-01-31,AncillaryFFS,FAMILY PRACTICE,Payer O,1381
85,2018-01-31,AncillaryFFS,Family Practice,Payer S,506
86,2018-01-31,AncillaryFFS,Family Practice,Payer UN,38
87,2018-01-31,AncillaryFFS,FAMILY PRACTICE,Payer W,1484
88,2018-01-31,AncillaryFFS,Fitness,Payer S,857
89,2018-01-31,AncillaryFFS,FQHC,Payer W,941
90,2018-01-31,AncillaryFFS,GASTROENTEROLOGY,Payer CA,348
91,2018-01-31,AncillaryFFS,GASTROENTEROLOGY,Payer F,820
92,2018-01-31,AncillaryFFS,GENERAL PRACTICE,Payer CA,1780
93,2018-01-31,AncillaryFFS,GENERAL PRACTICE,Payer F,2702
94,2018-01-31,AncillaryFFS,GENERAL PRACTICE,Payer O,2116
95,2018-01-31,AncillaryFFS,General Practice,Payer UN,188
96,2018-01-31,AncillaryFFS,GENERAL PRACTICE,Payer W,388
97,2018-01-31,AncillaryFFS,GENERAL SURGERY,Payer CA,470
98,2018-01-31,AncillaryFFS,GENERAL SURGERY,Payer F,464
99,2018-01-31,AncillaryFFS,GENERAL SURGERY,Payer O,60
100,2018-01-31,AncillaryFFS,General Surgery,Payer UN,15
101,2018-01-31,AncillaryFFS,GENERAL SURGERY,Payer W,562
102,2018-01-31,AncillaryFFS,Geriatric Medicine,Payer UN,-201
103,2018-01-31,AncillaryFFS,GERIATRICS,Payer B,-203
104,2018-01-31,AncillaryFFS,Gynecology,Payer UN,0
105,2018-01-31,AncillaryFFS,HEARING SERVICES,Payer CA,0
106,2018-01-31,AncillaryFFS,HEMATOLOGY/ONCOLOGY,Payer CA,123
107,2018-01-31,AncillaryFFS,HEMATOLOGY/ONCOLOGY,Payer CO,221
108,2018-01-31,AncillaryFFS,HEMATOLOGY/ONCOLOGY,Payer F,1252
109,2018-01-31,AncillaryFFS,HEMATOLOGY/ONCOLOGY,Payer O,196
110,2018-01-31,AncillaryFFS,Hematology/Oncology,Payer S,147
111,2018-01-31,AncillaryFFS,Home Delivered Meals,Payer S,117
112,2018-01-31,AncillaryFFS,HOME HEALTH,Payer F,66053
113,2018-01-31,AncillaryFFS,HOME HEALTH,Payer O,15277
114,2018-01-31,AncillaryFFS,HOME HEALTH AGENCY,Payer CO,1510
115,2018-01-31,AncillaryFFS,HOME HEALTH AGENCY,Payer W,6134
116,2018-01-31,AncillaryFFS,HOME HEALTH CARE,Payer CA,2276
117,2018-01-31,AncillaryFFS,Home Health Care,Payer UN,2125
118,2018-01-31,AncillaryFFS,HOME HEALTH CENTER,Payer H,13068
119,2018-01-31,AncillaryFFS,HOS/ANCILLARY,Payer F,347
120,2018-01-31,AncillaryFFS,HOS/ANCILLARY,Payer O,498
121,2018-01-31,AncillaryFFS,HOSPICE,Payer F,859
122,2018-01-31,AncillaryFFS,HOSPITAL,Payer CA,494
123,2018-01-31,AncillaryFFS,HOSPITAL,Payer F,437
124,2018-01-31,AncillaryFFS,Hospital,Payer UN,68
125,2018-01-31,AncillaryFFS,HOSPITAL,Payer W,48469
126,2018-01-31,AncillaryFFS,HOSPITAL ACUTE CARE,Payer B,0
127,2018-01-31,AncillaryFFS,HOSPITALIST,Payer CO,638
128,2018-01-31,AncillaryFFS,HOSPITALIST,Payer F,501
129,2018-01-31,AncillaryFFS,HOSPITALIST,Payer W,234
130,2018-01-31,AncillaryFFS,Hyperbaric Medicine,Payer S,2047
131,2018-01-31,AncillaryFFS,INDEPENDENT LAB,Payer F,5663
132,2018-01-31,AncillaryFFS,INDEPENDENT LAB,Payer H,1241
133,2018-01-31,AncillaryFFS,INDEPENDENT LAB,Payer O,5743
134,2018-01-31,AncillaryFFS,INFECTIOUS DISEASE,Payer F,906
135,2018-01-31,AncillaryFFS,INFECTIOUS DISEASE,Payer O,323
136,2018-01-31,AncillaryFFS,INFECTIOUS DISEASES,Payer CA,667
137,2018-01-31,AncillaryFFS,INFUSION CARE,Payer W,805
138,2018-01-31,AncillaryFFS,INFUSION PROVIDER,Payer O,887
139,2018-01-31,AncillaryFFS,Internal Medicine,Payer B,0
140,2018-01-31,AncillaryFFS,INTERNAL MEDICINE,Payer CA,1768
141,2018-01-31,AncillaryFFS,INTERNAL MEDICINE,Payer F,2615
142,2018-01-31,AncillaryFFS,INTERNAL MEDICINE,Payer O,1041
143,2018-01-31,AncillaryFFS,Internal Medicine,Payer S,415
144,2018-01-31,AncillaryFFS,Internal Medicine,Payer UN,-530
145,2018-01-31,AncillaryFFS,INTERNAL MEDICINE,Payer W,885
146,2018-01-31,AncillaryFFS,INTERVENTIONAL CARDIOLOGY,Payer CA,0
147,2018-01-31,AncillaryFFS,INTERVENTIONAL CARDIOLOGY,Payer F,29
148,2018-01-31,AncillaryFFS,INTERVENTIONAL CARDIOLOGY,Payer O,458
149,2018-01-31,AncillaryFFS,INTERVENTIONAL CARDIOLOGY,Payer W,72
150,2018-01-31,AncillaryFFS,LABORATORY,Payer CA,13529
151,2018-01-31,AncillaryFFS,LABORATORY,Payer CO,734
152,2018-01-31,AncillaryFFS,Laboratory,Payer S,1030
153,2018-01-31,AncillaryFFS,Laboratory,Payer UN,4148
154,2018-01-31,AncillaryFFS,LABORATORY,Payer W,5276
155,2018-01-31,AncillaryFFS,LABS(CLINICAL),Payer B,2292
156,2018-01-31,AncillaryFFS,MEDICAL DOCTOR,Payer H,2642
157,2018-01-31,AncillaryFFS,MEDICAL SUPPLIER (DME),Payer F,30869
158,2018-01-31,AncillaryFFS,MEDICAL SUPPLIER (DME),Payer O,5136
159,2018-01-31,AncillaryFFS,MENTAL HEALTH,Payer W,77
160,2018-01-31,AncillaryFFS,MENTAL HEALTH PROFESSIONAL,Payer F,0
161,2018-01-31,AncillaryFFS,MHH,Payer W,544
162,2018-01-31,AncillaryFFS,MINI CLINIC,Payer B,139
163,2018-01-31,AncillaryFFS,MOBIL,Payer W,121
164,2018-01-31,AncillaryFFS,MOBILE DIAGNOSTIC,Payer CA,308
165,2018-01-31,AncillaryFFS,NEPHROLOGY,Payer CA,427
166,2018-01-31,AncillaryFFS,NEPHROLOGY,Payer CO,562
167,2018-01-31,AncillaryFFS,NEPHROLOGY,Payer F,2336
168,2018-01-31,AncillaryFFS,NEPHROLOGY,Payer O,603
169,2018-01-31,AncillaryFFS,Nephrology,Payer S,337
170,2018-01-31,AncillaryFFS,Nephrology,Payer UN,0
171,2018-01-31,AncillaryFFS,NEPHROLOGY,Payer W,2401
172,2018-01-31,AncillaryFFS,NEUROLOGICAL SURGERY,Payer CA,119
173,2018-01-31,AncillaryFFS,NEUROLOGY,Payer CA,1558
174,2018-01-31,AncillaryFFS,Neurology,Payer UN,0
175,2018-01-31,AncillaryFFS,NEUROSURGERY,Payer F,2069
176,2018-01-31,AncillaryFFS,Neurosurgery,Payer UN,0
177,2018-01-31,AncillaryFFS,Non-Emergency Transportation,Payer S,662
178,2018-01-31,AncillaryFFS,NOTPROVIDED,Payer B,717
179,2018-01-31,AncillaryFFS,NURSE PRACTITIONER,Payer CA,408
180,2018-01-31,AncillaryFFS,NURSE PRACTITIONER,Payer CO,430
181,2018-01-31,AncillaryFFS,Nurse Practitioner (Arnp),Payer UN,0
182,2018-01-31,AncillaryFFS,NURSE PRACTITIONERS,Payer H,828
183,2018-01-31,AncillaryFFS,OBSTETRICS & GYNECOLOGY,Payer O,80
184,2018-01-31,AncillaryFFS,OBSTETRICS & GYNECOLOGY,Payer W,57
185,2018-01-31,AncillaryFFS,Obstetrics And Gynecology,Payer UN,0
186,2018-01-31,AncillaryFFS,ONCOLOGY,Payer F,0
187,2018-01-31,AncillaryFFS,ONCOLOGY,Payer O,219
188,2018-01-31,AncillaryFFS,Oncology & Hematology,Payer UN,0
189,2018-01-31,AncillaryFFS,OPHTHALMOLOGY,Payer CA,273
190,2018-01-31,AncillaryFFS,Opthalmology,Payer UN,-336
191,2018-01-31,AncillaryFFS,Optometry,Payer UN,0
192,2018-01-31,AncillaryFFS,ORTHOPEDIC,Payer CA,155
193,2018-01-31,AncillaryFFS,Orthopedic Surgery,Payer B,0
194,2018-01-31,AncillaryFFS,ORTHOPEDIC SURGERY,Payer CA,613
195,2018-01-31,AncillaryFFS,ORTHOPEDIC SURGERY,Payer F,953
196,2018-01-31,AncillaryFFS,ORTHOPEDIC SURGERY,Payer O,190
197,2018-01-31,AncillaryFFS,Orthopedic Surgery,Payer UN,-232
198,2018-01-31,AncillaryFFS,ORTHOPEDICS,Payer F,35
199,2018-01-31,AncillaryFFS,ORTHOTICS/PROSTHETICS,Payer CA,4321
200,2018-01-31,AncillaryFFS,ORTHOTICS/PROSTHETICS,Payer CO,119
201,2018-01-31,AncillaryFFS,ORTHOTICS/PROSTHETICS,Payer W,2123
202,2018-01-31,AncillaryFFS,OSTEOPATH,Payer H,1200
203,2018-01-31,AncillaryFFS,OTHER,Payer CA,1124
204,2018-01-31,AncillaryFFS,OTHERS,Payer F,768
205,2018-01-31,AncillaryFFS,OTHERS,Payer O,160
206,2018-01-31,AncillaryFFS,OUT OF COUNTRY PROVIDER,Payer F,504
207,2018-01-31,AncillaryFFS,PAIN MANAGEMENT,Payer B,0
208,2018-01-31,AncillaryFFS,PAIN MANAGEMENT,Payer CA,239
209,2018-01-31,AncillaryFFS,Pain Management,Payer UN,41
210,2018-01-31,AncillaryFFS,PAIN MANAGEMENT,Payer W,742
211,2018-01-31,AncillaryFFS,PATHOLOGY,Payer CA,384
212,2018-01-31,AncillaryFFS,PATHOLOGY,Payer CO,1709
213,2018-01-31,AncillaryFFS,PATHOLOGY,Payer F,903
214,2018-01-31,AncillaryFFS,PATHOLOGY,Payer O,924
215,2018-01-31,AncillaryFFS,Pathology,Payer UN,2006
216,2018-01-31,AncillaryFFS,Pathology - Anatomic Pathology & Clinical Patholog,Payer S,494
217,2018-01-31,AncillaryFFS,PCS,Payer W,82
218,2018-01-31,AncillaryFFS,PEDIATRICS,Payer CA,82
219,2018-01-31,AncillaryFFS,PEDIATRICS,Payer F,580
220,2018-01-31,AncillaryFFS,PEDIATRICS,Payer O,573
221,2018-01-31,AncillaryFFS,PERSONAL EMERGENCY RESPONSE SYSTEM,Payer S,42
222,2018-01-31,AncillaryFFS,PHARMACY,Payer B,139
223,2018-01-31,AncillaryFFS,PHYS MEDICINE REHAB,Payer F,1133
224,2018-01-31,AncillaryFFS,PHYS MEDICINE REHAB,Payer O,2164
225,2018-01-31,AncillaryFFS,PHYSICAL MEDICINE & REHAB,Payer CA,572
226,2018-01-31,AncillaryFFS,PHYSICAL THERAPY,Payer CA,713
227,2018-01-31,AncillaryFFS,Physical Therapy,Payer UN,288
228,2018-01-31,AncillaryFFS,PHYSICAL THERAPY,Payer W,0
229,2018-01-31,AncillaryFFS,PHYSICIAN ASSISTANT,Payer H,853
230,2018-01-31,AncillaryFFS,Physician Assistant,Payer S,167
231,2018-01-31,AncillaryFFS,Physician Assistant,Payer UN,0
232,2018-01-31,AncillaryFFS,PLASTIC SURGERY,Payer CA,277
233,2018-01-31,AncillaryFFS,Podiatrist	,Payer S,355
234,2018-01-31,AncillaryFFS,PODIATRIST,Payer H,1795
235,2018-01-31,AncillaryFFS,Podiatrist - Foot Surgery	,Payer S,182
236,2018-01-31,AncillaryFFS,PODIATRY,Payer B,0
237,2018-01-31,AncillaryFFS,PODIATRY,Payer CA,967
238,2018-01-31,AncillaryFFS,PODIATRY,Payer CO,199
239,2018-01-31,AncillaryFFS,PODIATRY,Payer F,1273
240,2018-01-31,AncillaryFFS,PODIATRY,Payer O,462
241,2018-01-31,AncillaryFFS,Podiatry,Payer UN,16
242,2018-01-31,AncillaryFFS,PODIATRY,Payer W,265
243,2018-01-31,AncillaryFFS,PREVENTIVE MEDICINE,Payer F,377
244,2018-01-31,AncillaryFFS,PREVENTIVE MEDICINE,Payer O,104
245,2018-01-31,AncillaryFFS,PROSTHETIC & ORTHOTICS,Payer F,4347
246,2018-01-31,AncillaryFFS,PROSTHETIC & ORTHOTICS,Payer O,937
247,2018-01-31,AncillaryFFS,Prosthetics and Orthotics,Payer S,575
248,2018-01-31,AncillaryFFS,PROV RURAL HEALTH,Payer F,482
249,2018-01-31,AncillaryFFS,PROV RURAL HEALTH,Payer O,256
250,2018-01-31,AncillaryFFS,PROV TYPE INVALID,Payer H,64
251,2018-01-31,AncillaryFFS,PSYCH HOSPITAL,Payer W,2304
252,2018-01-31,AncillaryFFS,PSYCHIATRY,Payer CA,0
253,2018-01-31,AncillaryFFS,PSYCHIATRY,Payer W,1843
254,2018-01-31,AncillaryFFS,Psychology,Payer UN,0
255,2018-01-31,AncillaryFFS,PSYCHOLOGY,Payer W,450
256,2018-01-31,AncillaryFFS,PUBL,Payer CO,42
257,2018-01-31,AncillaryFFS,PULMONARY DISEASE,Payer F,919
258,2018-01-31,AncillaryFFS,PULMONARY DISEASE,Payer O,14
259,2018-01-31,AncillaryFFS,Pulmonary Diseases,Payer B,0
260,2018-01-31,AncillaryFFS,PULMONARY DISEASES,Payer CA,132
261,2018-01-31,AncillaryFFS,PULMONARY DISEASES,Payer W,815
262,2018-01-31,AncillaryFFS,Pulmonology,Payer UN,0
263,2018-01-31,AncillaryFFS,RADIATION ONCOLOGY,Payer CA,651
264,2018-01-31,AncillaryFFS,RADIATION ONCOLOGY,Payer CO,835
265,2018-01-31,AncillaryFFS,RADIATION ONCOLOGY,Payer F,592
266,2018-01-31,AncillaryFFS,RADIOLOGY,Payer F,542
267,2018-01-31,AncillaryFFS,RADIOLOGY,Payer O,326
268,2018-01-31,AncillaryFFS,Radiology,Payer UN,-5414
269,2018-01-31,AncillaryFFS,RADIOLOGY,Payer W,262
270,2018-01-31,AncillaryFFS,Radiology (Diagnostic),Payer UN,196
271,2018-01-31,AncillaryFFS,Radiology - Diagnostic,Payer S,52
272,2018-01-31,AncillaryFFS,RADIOLOGY IMAGING CENTER,Payer B,0
273,2018-01-31,AncillaryFFS,RADIOLOGY IMAGING PROVIDER,Payer F,927
274,2018-01-31,AncillaryFFS,RADIOLOGY IMAGING PROVIDER,Payer O,537
275,2018-01-31,AncillaryFFS,Radiology Oncology,Payer UN,0
276,2018-01-31,AncillaryFFS,Rehabilitation Center,Payer UN,0
277,2018-01-31,AncillaryFFS,REHABILITATION FACILITY,Payer B,0
278,2018-01-31,AncillaryFFS,REHABILITATION FACILITY,Payer W,0
279,2018-01-31,AncillaryFFS,REHABILITATION HOSPITAL,Payer B,45
280,2018-01-31,AncillaryFFS,RENAL DIALYSIS FACILITY,Payer F,55789
281,2018-01-31,AncillaryFFS,RENAL DIALYSIS FACILITY,Payer O,5560
282,2018-01-31,AncillaryFFS,Rheumatology,Payer UN,0
283,2018-01-31,AncillaryFFS,SKILLED NURSING FACILITY,Payer CA,1248
284,2018-01-31,AncillaryFFS,SKILLED NURSING FACILITY,Payer W,6201
285,2018-01-31,AncillaryFFS,SLEEP CENTER,Payer CA,718
286,2018-01-31,AncillaryFFS,SLEEP CENTER,Payer W,2112
287,2018-01-31,AncillaryFFS,SLEEP DIAGNOSTIC FACILITY,Payer F,1703
288,2018-01-31,AncillaryFFS,SLEEP DIAGNOSTIC FACILITY,Payer O,360
289,2018-01-31,AncillaryFFS,Sleep Medicine,Payer S,349
290,2018-01-31,AncillaryFFS,SPC FCLY / CA HOSPITAL,Payer F,663
291,2018-01-31,AncillaryFFS,SPECIAL SERVICES,Payer H,5240
292,2018-01-31,AncillaryFFS,SUBST,Payer W,503
293,2018-01-31,AncillaryFFS,Surgery (Vascular),Payer UN,316
294,2018-01-31,AncillaryFFS,SURGICAL ONCOLOGY,Payer CA,319
295,2018-01-31,AncillaryFFS,THERR,Payer CO,310
296,2018-01-31,AncillaryFFS,TRANSPORTATION,Payer S,321
297,2018-01-31,AncillaryFFS,UNDER,Payer CO,96
298,2018-01-31,AncillaryFFS,URGENT CARE CENTER,Payer B,202
299,2018-01-31,AncillaryFFS,URGENT CARE CENTER,Payer CA,1344
300,2018-01-31,AncillaryFFS,URGENT CARE CENTER,Payer F,1458
301,2018-01-31,AncillaryFFS,URGENT CARE CENTER,Payer O,440
302,2018-01-31,AncillaryFFS,URGENT CARE CENTER,Payer W,462
303,2018-01-31,AncillaryFFS,Urgent Care Facility,Payer UN,420
304,2018-01-31,AncillaryFFS,URGENT CARE MEDICINE,Payer F,1125
305,2018-01-31,AncillaryFFS,Urology,Payer B,410
306,2018-01-31,AncillaryFFS,UROLOGY,Payer CA,221
307,2018-01-31,AncillaryFFS,Urology,Payer UN,-501
308,2018-01-31,AncillaryFFS,VASCULAR SURGERY,Payer F,296
309,2018-01-31,AncillaryFFS,VISION,Payer F,6223
310,2018-01-31,AncillaryFFS,VISION,Payer O,3799
311,2018-01-31,AncillaryFFS,WOUND CARE SPECIALISTS,Payer F,342
312,2018-01-31,AncillaryFFS,WOUND CARE SPECIALISTS,Payer O,852
313,2018-01-31,AncillaryFFS,WOUNDCARE,Payer CA,426
314,2018-01-31,ASCServices,,Payer F,614
315,2018-01-31,ASCServices,ABULATORY SURGICAL CENTER,Payer CO,710
316,2018-01-31,ASCServices,AMBULATORY SURGERY CENTER,Payer B,554
317,2018-01-31,ASCServices,AMBULATORY SURGICAL CENTER,Payer CA,13391
318,2018-01-31,ASCServices,AMBULATORY SURGICAL CENTER,Payer F,10375
319,2018-01-31,ASCServices,AMBULATORY SURGICAL CENTER,Payer O,1482
320,2018-01-31,ASCServices,Ambulatory Surgical Center,Payer S,660
321,2018-01-31,ASCServices,AMBULATORY SURGICAL CENTER,Payer W,1319
322,2018-01-31,ASCServices,Ambulatory Surgical Centers,Payer UN,1815
323,2018-01-31,ASCServices,ANES ASSIST,Payer CA,217
324,2018-01-31,ASCServices,ANESTHESIOLOGIST,Payer H,1868
325,2018-01-31,ASCServices,ANESTHESIOLOGY,Payer CA,3751
326,2018-01-31,ASCServices,ANESTHESIOLOGY,Payer CO,353
327,2018-01-31,ASCServices,ANESTHESIOLOGY,Payer F,6342
328,2018-01-31,ASCServices,ANESTHESIOLOGY,Payer O,1383
329,2018-01-31,ASCServices,Anesthesiology,Payer S,826
330,2018-01-31,ASCServices,Anesthesiology,Payer UN,2230
331,2018-01-31,ASCServices,ANESTHESIOLOGY,Payer W,528
332,2018-01-31,ASCServices,ARNP,Payer CA,165
333,2018-01-31,ASCServices,ASC,Payer F,40366
334,2018-01-31,ASCServices,ASC,Payer O,10923
335,2018-01-31,ASCServices,CARDIOLOGY,Payer F,207
336,2018-01-31,ASCServices,CARDIOLOGY,Payer O,450
337,2018-01-31,ASCServices,CARDIOVASCULAR SURGERY,Payer CA,254
338,2018-01-31,ASCServices,CERTIFIED REGISTERED NURSE ANESTHETIST,Payer B,1541
339,2018-01-31,ASCServices,Colon and Rectal Surgery,Payer B,868
340,2018-01-31,ASCServices,DURABLE MEDICAL EQUIPMENT,Payer CA,0
341,2018-01-31,ASCServices,DURABLE MEDICAL EQUIPMENT,Payer W,0
342,2018-01-31,ASCServices,Durable Medical Supply,Payer UN,0
343,2018-01-31,ASCServices,ENT,Payer CA,290
344,2018-01-31,ASCServices,ENT,Payer F,448
345,2018-01-31,ASCServices,ENT,Payer O,193
346,2018-01-31,ASCServices,Gastroenterology,Payer B,434
347,2018-01-31,ASCServices,GASTROENTEROLOGY,Payer CA,2596
348,2018-01-31,ASCServices,GASTROENTEROLOGY,Payer CO,1304
349,2018-01-31,ASCServices,GASTROENTEROLOGY,Payer F,5794
350,2018-01-31,ASCServices,GASTROENTEROLOGY,Payer O,1363
351,2018-01-31,ASCServices,Gastroenterology,Payer S,480
352,2018-01-31,ASCServices,Gastroenterology,Payer UN,1216
353,2018-01-31,ASCServices,GASTROENTEROLOGY,Payer W,671
354,2018-01-31,ASCServices,GENERAL SURGERY,Payer F,899
355,2018-01-31,ASCServices,GENERAL SURGERY,Payer O,575
356,2018-01-31,ASCServices,GYNECOLOGY,Payer F,1013
357,2018-01-31,ASCServices,HAND SURGERY,Payer F,485
358,2018-01-31,ASCServices,INDEPENDENT LAB,Payer F,2393
359,2018-01-31,ASCServices,INDEPENDENT LAB,Payer O,670
360,2018-01-31,ASCServices,INTERNAL MEDICINE,Payer CO,260
361,2018-01-31,ASCServices,LABORATORY,Payer W,106
362,2018-01-31,ASCServices,MEDICAL DOCTOR,Payer H,4708
363,2018-01-31,ASCServices,NEPHROLOGY,Payer F,720
364,2018-01-31,ASCServices,NEUROLOGY,Payer CA,125
365,2018-01-31,ASCServices,NEUROLOGY,Payer W,750
366,2018-01-31,ASCServices,NURSE ANESTHETIST,Payer H,254
367,2018-01-31,ASCServices,Nurse Anesthetist - Certified Registered	,Payer S,686
368,2018-01-31,ASCServices,Nurse Practitioner (Arnp),Payer UN,220
369,2018-01-31,ASCServices,OBSTETRICS & GYNECOLOGY,Payer CA,262
370,2018-01-31,ASCServices,OPHTHALMOLOGY,Payer CA,1724
371,2018-01-31,ASCServices,OPHTHALMOLOGY,Payer W,0
372,2018-01-31,ASCServices,Ophthamology,Payer B,534
373,2018-01-31,ASCServices,Opthalmology,Payer UN,1897
374,2018-01-31,ASCServices,ORTHOPEDIC SURGERY,Payer CA,686
375,2018-01-31,ASCServices,ORTHOPEDIC SURGERY,Payer F,6013
376,2018-01-31,ASCServices,ORTHOPEDIC SURGERY,Payer O,422
377,2018-01-31,ASCServices,Orthopedic Surgery,Payer UN,1365
378,2018-01-31,ASCServices,ORTHOPEDIC SURGERY,Payer W,1490
